business_name,niche,address,phone,whatsapp,website,email,source_url,date_collected
Fanida International School,schools,,,,,,OpenStreetMap,2026-04-05
Al-Rayan International School,schools,,,,,,OpenStreetMap,2026-04-05
Marchmont Child Development Centre,schools,,,,,,OpenStreetMap,2026-04-05
Cribs N Sandbox,schools,,,,,,OpenStreetMap,2026-04-05
Lucas University,schools,,,,,,OpenStreetMap,2026-04-05
Ecole Francaise Adkel,schools,,,,Osu Badu Cr,,OpenStreetMap,2026-04-05
Crown University College,schools,,,,,,OpenStreetMap,2026-04-05
Standford SEED Innovation Center,schools,,,,,,OpenStreetMap,2026-04-05
Accra Stem Academy,schools,,,,,,OpenStreetMap,2026-04-05
University of Nottingham West Africa,schools,"Sir Arku Korsah Road, Accra",,,,,OpenStreetMap,2026-04-05
Ghana International School,schools,,,,,,Google Maps,2026-04-05
American International School,schools,,,,,,Google Maps,2026-04-05
Lincoln Community School,schools,,,,,,Google Maps,2026-04-05
German Swiss International School,schools,,,,,,Google Maps,2026-04-05
